author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),false,"[62,60,77,66,9,43,0,10,40,7,58,29,25,7,78,18]","[56,57,71,20,55,83,94,100,89,86,64,1,94,70,54,95]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[62,60,77,66,9,43,0,10,40,7,58,29,25,7,78,18]","[56.64813461840667,51.62687998785886,92.58433466521153,76.1468884752968,7.499261349251672,48.59826263173091,-18.32492232383301,15.839294479265707,42.134927872004354,33.93095200965212,64.86755937642155,36.05409522214974,10.647803626166843,-1.7127419521848974,70.70453490888455,18.28163428927086]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[62,60,77,66,9,43,0,10,40,7,58,29,25,7,78,18]","[53.49151162105493,57.69366516388268,79.4003905309198,73.77846389816322,-3.627607918758736,40.674910150016956,5.988838429347112,14.176506535499737,37.82326205295878,10.25608732478851,48.798884592743775,17.83560882024696,7.557460636995511,-20.9733561745797,94.5156941749971,21.86007582869553]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),false,"[65.80284472694115,49.431062694331736,88.98230688256056,39.38752197513284,26.41661994571409,34.336440467372704,0.3994859491696942,5.464721268565162,51.619790536255934,11.335723686831443,41.158306447838555,44.83937340138769,10.42773990937825,5.167713400513356,62.17143504792526,28.73198047678293]","[62,60,77,66,9,43,0,10,40,7,58,29,25,7,78,18]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65.80284472694115,49.431062694331736,88.98230688256056,39.38752197513284,26.41661994571409,34.336440467372704,0.3994859491696942,5.464721268565162,51.619790536255934,11.335723686831443,41.158306447838555,44.83937340138769,10.42773990937825,5.167713400513356,62.17143504792526,28.73198047678293]","[69.9017784459472,43.12233806172088,95.6719657564337,49.81220562279159,26.38233439975861,35.201812903460386,-6.018258115871581,-14.814418123118655,42.26377332654273,17.71077645972703,46.72134352549909,36.98610997865394,23.28359236046684,-1.889908268883536,58.632018547246346,36.544363615309564]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65.80284472694115,49.431062694331736,88.98230688256056,39.38752197513284,26.41661994571409,34.336440467372704,0.3994859491696942,5.464721268565162,51.619790536255934,11.335723686831443,41.158306447838555,44.83937340138769,10.42773990937825,5.167713400513356,62.17143504792526,28.73198047678293]","[75.04335112810013,47.49373980266504,79.64618457421702,42.28900456811214,22.934567790941035,25.09907981005921,-11.339070470138978,-9.563655502120568,51.281651687767955,6.617380534936012,24.040843467491978,44.81746507219244,-3.9323393158465763,3.9679376655564247,57.82727993711589,23.865943094162073]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65.80284472694115,49.431062694331736,88.98230688256056,39.38752197513284,26.41661994571409,34.336440467372704,0.3994859491696942,5.464721268565162,51.619790536255934,11.335723686831443,41.158306447838555,44.83937340138769,10.42773990937825,5.167713400513356,62.17143504792526,28.73198047678293]","[54.07669445557718,47.57526034905267,107.39163490760079,35.586727505079594,32.99178524852936,19.34225484744359,21.468250676348084,-13.55681716221107,54.60583760315838,6.323104684561904,49.89596667906431,30.064384555641773,16.136956175970518,-3.303367143846759,60.120485463354804,17.62728096116347]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65.80284472694115,49.431062694331736,88.98230688256056,39.38752197513284,26.41661994571409,34.336440467372704,0.3994859491696942,5.464721268565162,51.619790536255934,11.335723686831443,41.158306447838555,44.83937340138769,10.42773990937825,5.167713400513356,62.17143504792526,28.73198047678293]","[84.05322389489903,49.24553808441199,95.07803871933406,40.203569530612526,43.03367842608061,36.76366830534724,7.809700152894906,-0.1480418393155798,52.04206326013772,24.244838392339013,28.301262028248576,47.458055961146485,8.139494447408502,-19.811396688693556,66.15865756354927,32.988226663324454]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65.80284472694115,49.431062694331736,88.98230688256056,39.38752197513284,26.41661994571409,34.336440467372704,0.3994859491696942,5.464721268565162,51.619790536255934,11.335723686831443,41.158306447838555,44.83937340138769,10.42773990937825,5.167713400513356,62.17143504792526,28.73198047678293]","[77.8070767952308,41.52411916285034,87.20486829150602,45.05300287968629,37.41173501538766,33.26238144529918,-5.083765889395652,-0.3825263288810916,62.45537967647983,11.560945267642742,58.75493122197402,37.31586981594611,17.34278712895432,10.513043320846547,56.71699271066839,22.078576745284224]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65.80284472694115,49.431062694331736,88.98230688256056,39.38752197513284,26.41661994571409,34.336440467372704,0.3994859491696942,5.464721268565162,51.619790536255934,11.335723686831443,41.158306447838555,44.83937340138769,10.42773990937825,5.167713400513356,62.17143504792526,28.73198047678293]","[55.12772140877247,50.53369857134763,105.61034837724611,29.186635675930244,11.899019516313501,30.677845968591903,-18.086823065345975,-1.212243661217916,68.05863141338973,5.442170925513502,44.669319836933184,35.46644400288578,22.639029188011598,-0.05376844636785805,55.367186964520606,32.96389194595078]"
